Estrutura,Documentos,NumeroPalavrasTotais,NumeroPalavrasDistintas,TempoTotalInsercao,TempoMedioInsercao,TempoMaxBusca,TempoMedioBusca,Altura,MenorGalho,MaiorGalho,ComparacoesInsercao,ComparacoesBusca,NumeroRotacao
avl,5500,16955485,166169,80244.570319,0.004733,0.138542,0.000450,20,12,20,0,217700077,121981
avl,5600,17254653,167014,82968.998493,0.004808,0.138542,0.000452,20,12,20,0,221600814,122559
avl,5700,17556584,168103,85759.616172,0.004885,0.138542,0.000454,20,12,20,0,225543812,123346
avl,5800,17867185,169054,88693.046641,0.004964,0.138542,0.000456,20,12,20,0,229585307,124044
avl,5900,18210781,170213,92004.943337,0.005052,0.138542,0.000458,20,12,20,0,234080740,124908
avl,6000,18492753,171125,94732.603387,0.005123,0.138542,0.000460,20,12,20,0,237765199,125572
avl,6100,18791128,172129,97705.930475,0.005200,0.138542,0.000462,20,12,20,0,241648041,126264
avl,6200,19104193,173076,100854.299419,0.005279,0.138542,0.000464,20,13,20,0,245747925,126961
avl,6300,19386427,173999,103842.826373,0.005356,0.138542,0.000467,20,13,20,0,249438837,127594
avl,6400,19706124,174844,107301.371604,0.005445,0.138542,0.000469,20,13,20,0,253619680,128203
avl,6500,20036770,175986,110735.939044,0.005527,0.138542,0.000471,20,13,20,0,257946469,129048
avl,6600,20341249,176724,113868.271990,0.005598,0.138542,0.000473,20,13,20,0,261935487,129608
avl,6700,20640612,177569,116996.116327,0.005668,0.138542,0.000475,20,13,20,0,265852433,130222
avl,6800,20937069,178514,120160.260164,0.005739,0.138542,0.000477,20,13,20,0,269723388,130938
avl,6900,21212044,179410,123160.181691,0.005806,0.138542,0.000479,20,13,20,0,273337580,131574
avl,7000,21550469,180287,127003.715981,0.005893,0.138542,0.000481,20,13,20,0,277784082,132217
avl,7100,21868270,181131,130646.832316,0.005974,0.138542,0.000483,20,13,20,0,281944304,132788
avl,7200,22264940,182090,135489.451328,0.006085,0.159713,0.000487,20,13,20,0,287154741,133467
avl,7300,22557474,182763,138895.513488,0.006157,0.159713,0.000489,20,13,20,0,290979744,133973
avl,7400,22834217,183308,142335.495610,0.006233,0.159713,0.000491,20,13,20,0,294607709,134350
avl,7500,23107560,184076,145786.488907,0.006309,0.159713,0.000493,20,13,20,0,298195774,134867
avl,7600,23436936,184859,149926.405822,0.006397,0.159713,0.000496,20,13,20,0,302516929,135432
avl,7700,23751068,185596,153873.539262,0.006479,0.210436,0.000498,20,13,20,0,306635564,135984
avl,7800,24016778,186152,157212.998682,0.006546,0.210436,0.000500,20,13,20,0,310123051,136379
avl,7900,24283369,186812,160584.739443,0.006613,0.210436,0.000502,20,13,20,0,313623452,136856
avl,8000,24585448,187490,164574.630904,0.006694,0.210436,0.000505,20,13,20,0,317592063,137365
avl,8100,24891603,188202,168699.032362,0.006777,0.210436,0.000507,20,13,20,0,321630651,137872
avl,8200,25215788,188887,172984.677046,0.006860,0.210436,0.000509,20,13,20,0,325884318,138406
avl,8300,25541759,189640,177332.378630,0.006943,0.210436,0.000512,20,13,20,0,330167423,138956
avl,8400,25842385,190293,181375.869067,0.007019,0.210436,0.000514,20,13,20,0,334132366,139411
avl,8500,26132555,190864,185333.624119,0.007092,0.210436,0.000516,20,13,20,0,337966551,139807
avl,8600,26434467,191564,189485.185767,0.007168,0.210436,0.000519,20,13,20,0,341949600,140348
avl,8700,26774208,192411,194301.055462,0.007257,0.210436,0.000521,20,13,20,0,346447337,140973
avl,8800,27108986,193131,199027.058460,0.007342,0.210436,0.000524,20,13,20,0,350857030,141501
avl,8900,27419585,193689,203358.764398,0.007417,0.210436,0.000526,20,13,20,0,354960072,141923
avl,9000,27784896,194526,208484.259016,0.007504,0.210436,0.000528,20,13,20,0,359785163,142527
avl,9100,28100847,195130,212889.844729,0.007576,0.210436,0.000530,20,13,20,0,363954159,142994
avl,9200,28443377,195667,217783.765880,0.007657,0.210436,0.000532,20,13,20,0,368480639,143379
avl,9300,28723895,196160,221884.281088,0.007725,0.210436,0.000534,20,13,20,0,372182450,143725
avl,9400,29041911,196717,226873.604505,0.007812,0.210436,0.000537,20,13,20,0,376398195,144126
avl,9500,29372564,197139,231850.516109,0.007893,0.210436,0.000539,20,13,20,0,380772521,144402
avl,9600,29721694,197656,237037.483935,0.007975,0.210436,0.000541,20,13,20,0,385381390,144785
avl,9700,30052159,198281,242073.052823,0.008055,0.210436,0.000544,20,13,20,0,389741728,145262
avl,9800,30324053,198766,246280.907176,0.008122,0.210436,0.000545,20,13,20,0,393318799,145645
avl,9900,30613129,199358,250731.700779,0.008190,0.210436,0.000547,20,13,20,0,397158361,146061
avl,10000,30941759,199864,255804.802981,0.008267,0.210436,0.000549,20,13,20,0,401509211,146443
