Estrutura,Documentos,NumeroPalavrasTotais,NumeroPalavrasDistintas,TempoTotalInsercao,TempoMedioInsercao,TempoTotalBusca,TempoMedioBusca,Altura,MenorGalho,MaiorGalho,ComparacoesInsercao,ComparacoesBusca,NumeroRotacao
bst,5500,16955485,166169,58.637732,0.000003,7.280538,0.000000,44,7,44,225475341,225641510,0
bst,5600,17254653,167014,60.588972,0.000004,7.450581,0.000000,44,7,44,229444814,229611828,0
bst,5700,17556584,168103,62.624729,0.000004,7.633663,0.000000,44,7,44,233478222,233646325,0
bst,5800,17867185,169054,64.666655,0.000004,7.812063,0.000000,45,7,45,237598173,237767227,0
bst,5900,18210781,170213,67.036484,0.000004,8.013804,0.000000,45,7,45,242187141,242357354,0
bst,6000,18492753,171125,68.963979,0.000004,8.181766,0.000000,45,7,45,245962818,246133943,0
bst,6100,18791128,172129,71.103974,0.000004,8.374148,0.000000,45,7,45,249899591,250071720,0
bst,6200,19104193,173076,73.399858,0.000004,8.578510,0.000000,45,7,45,254080432,254253508,0
bst,6300,19386427,173999,75.496689,0.000004,8.768009,0.000000,45,7,45,257856094,258030093,0
bst,6400,19706124,174844,77.909619,0.000004,8.985320,0.000000,45,7,45,262114263,262289107,0
bst,6500,20036770,175986,80.349499,0.000004,9.196876,0.000000,45,7,45,266554276,266730262,0
bst,6600,20341249,176724,82.638672,0.000004,9.397620,0.000000,45,7,45,270629240,270805964,0
bst,6700,20640612,177569,84.941924,0.000004,9.596144,0.000000,45,7,45,274621428,274798997,0
bst,6800,20937069,178514,87.264430,0.000004,9.798597,0.000000,45,7,45,278565307,278743821,0
bst,6900,21212044,179410,89.430682,0.000004,9.989179,0.000000,45,7,45,282252157,282431567,0
bst,7000,21550469,180287,92.141152,0.000004,10.222298,0.000000,45,7,45,286776456,286956743,0
bst,7100,21868270,181131,94.722964,0.000004,10.443420,0.000000,45,7,45,290979393,291160524,0
bst,7200,22264940,182090,98.070136,0.000004,10.726746,0.000000,45,7,45,296274747,296456837,0
bst,7300,22557474,182763,100.531861,0.000004,10.938339,0.000000,45,7,45,300129039,300311802,0
bst,7400,22834217,183308,102.848982,0.000005,11.136857,0.000000,45,7,45,303808441,303991749,0
bst,7500,23107560,184076,105.230230,0.000005,11.341580,0.000000,45,7,45,307469683,307653759,0
bst,7600,23436936,184859,108.133159,0.000005,11.584885,0.000000,45,7,45,311888113,312072972,0
bst,7700,23751068,185596,110.893908,0.000005,11.818894,0.000000,45,7,45,316080468,316266064,0
bst,7800,24016778,186152,113.920377,0.000005,12.072709,0.000001,45,7,45,319619996,319806148,0
bst,7900,24283369,186812,116.451578,0.000005,12.283080,0.000001,45,7,45,323191996,323378808,0
bst,8000,24585448,187490,119.232314,0.000005,12.514224,0.000001,45,7,45,327222850,327410340,0
bst,8100,24891603,188202,122.011471,0.000005,12.746195,0.000001,45,7,45,331327873,331516075,0
bst,8200,25215788,188887,125.082413,0.000005,12.999646,0.000001,45,7,45,335634185,335823072,0
bst,8300,25541759,189640,128.175095,0.000005,13.283283,0.000001,45,7,45,339979875,340169515,0
bst,8400,25842385,190293,131.017023,0.000005,13.548337,0.000001,45,7,45,344020633,344210926,0
bst,8500,26132555,190864,133.793752,0.000005,13.806073,0.000001,45,7,45,347907325,348098189,0
bst,8600,26434467,191564,136.774918,0.000005,14.081114,0.000001,45,7,45,351948282,352139846,0
bst,8700,26774208,192411,140.131024,0.000005,14.394055,0.000001,45,7,45,356494134,356686545,0
bst,8800,27108986,193131,143.570408,0.000005,14.713689,0.000001,45,7,45,360962315,361155446,0
bst,8900,27419585,193689,146.705461,0.000005,14.999380,0.000001,45,7,45,365105521,365299210,0
bst,9000,27784896,194526,150.466182,0.000005,15.350650,0.000001,45,7,45,369999419,370193945,0
bst,9100,28100847,195130,153.656546,0.000005,15.653910,0.000001,45,7,45,374226202,374421332,0
bst,9200,28443377,195667,157.285267,0.000006,16.007210,0.000001,45,7,45,378775559,378971226,0
bst,9300,28723895,196160,160.368034,0.000006,16.315659,0.000001,45,7,45,382499842,382696002,0
bst,9400,29041911,196717,163.758324,0.000006,16.639814,0.000001,45,7,45,386736693,386933410,0
bst,9500,29372564,197139,168.007117,0.000006,17.045840,0.000001,45,7,45,391163583,391360722,0
bst,9600,29721694,197656,172.020095,0.000006,17.416484,0.000001,45,7,45,395827445,396025101,0
bst,9700,30052159,198281,175.740360,0.000006,17.753577,0.000001,45,7,45,400208426,400406707,0
bst,9800,30324053,198766,178.852844,0.000006,18.043798,0.000001,45,7,45,403783986,403982752,0
bst,9900,30613129,199358,182.092145,0.000006,18.346006,0.000001,45,7,45,407654901,407854259,0
bst,10000,30941759,199864,185.869584,0.000006,18.692294,0.000001,45,7,45,412032644,412232508,0
