Estrutura,Documentos,NumeroPalavrasTotais,NumeroPalavrasDistintas,TempoTotalInsercao,TempoMedioInsercao,TempoTotalBusca,TempoMedioBusca,Altura,MenorGalho,MaiorGalho,ComparacoesInsercao,ComparacoesBusca,NumeroRotacao
rbt,5300,16259232,163736,53.388589,0.000003,7.834482,0.000000,20,11,20,209493391,209566146,100168
rbt,5400,16607637,164966,55.863067,0.000003,8.114497,0.000000,20,11,20,214049413,214122721,100909
rbt,5500,16955485,166169,58.064128,0.000003,8.340101,0.000000,20,11,20,218587993,218661846,101641
rbt,5600,17254653,167014,60.101405,0.000003,8.558438,0.000000,20,12,20,222498441,222572694,102128
rbt,5700,17556584,168103,62.198035,0.000004,8.787077,0.000001,20,12,20,226458868,226533600,102811
rbt,5800,17867185,169054,64.426635,0.000004,9.020862,0.000001,20,12,20,230514547,230589709,103391
rbt,5900,18210781,170213,66.928993,0.000004,9.282160,0.000001,20,12,20,235021357,235097036,104092
rbt,6000,18492753,171125,68.928737,0.000004,9.479251,0.000001,20,12,20,238722880,238798944,104664
rbt,6100,18791128,172129,71.291222,0.000004,9.722260,0.000001,20,12,20,242622613,242699169,105237
rbt,6200,19104193,173076,73.718980,0.000004,9.976400,0.000001,20,12,20,246723803,246800763,105843
rbt,6300,19386427,173999,75.912032,0.000004,10.206196,0.000001,20,12,20,250428619,250506022,106375
rbt,6400,19706124,174844,78.253973,0.000004,10.443715,0.000001,20,12,20,254623202,254701006,106870
rbt,6500,20036770,175986,80.800960,0.000004,10.703535,0.000001,20,12,20,258966017,259044323,107565
rbt,6600,20341249,176724,83.240022,0.000004,10.958996,0.000001,20,12,20,262961717,263040341,108036
rbt,6700,20640612,177569,85.603414,0.000004,11.198191,0.000001,20,12,20,266873373,266952396,108533
rbt,6800,20937069,178514,88.001627,0.000004,11.449310,0.000001,20,12,20,270760720,270840158,109110
rbt,6900,21212044,179410,90.213061,0.000004,11.676126,0.000001,20,12,20,274383795,274463661,109621
rbt,7000,21550469,180287,93.048629,0.000004,11.953708,0.000001,20,12,20,278821020,278901275,110157
rbt,7100,21868270,181131,95.800332,0.000004,12.234050,0.000001,20,12,20,282983389,283064064,110621
rbt,7200,22264940,182090,99.233737,0.000004,12.579407,0.000001,20,12,20,288195370,288276508,111160
rbt,7300,22557474,182763,101.791978,0.000005,12.838761,0.000001,20,12,20,292018693,292100132,111582
rbt,7400,22834217,183308,104.461306,0.000005,13.119204,0.000001,20,12,20,295650549,295732263,111885
rbt,7500,23107560,184076,106.845614,0.000005,13.351447,0.000001,20,12,20,299241515,299323578,112354
rbt,7600,23436936,184859,109.901480,0.000005,13.664919,0.000001,20,12,20,303557893,303640310,112827
rbt,7700,23751068,185596,112.815394,0.000005,13.956030,0.000001,20,12,20,307696301,307779025,113291
rbt,7800,24016778,186152,115.315302,0.000005,14.195623,0.000001,20,12,20,311174201,311257145,113657
rbt,7900,24283369,186812,117.833131,0.000005,14.439811,0.000001,20,12,20,314670195,314753448,114045
rbt,8000,24585448,187490,120.583842,0.000005,14.694253,0.000001,20,12,20,318628344,318711905,114453
rbt,8100,24891603,188202,123.565000,0.000005,14.987474,0.000001,20,12,20,322658674,322742549,114894
rbt,8200,25215788,188887,126.751978,0.000005,15.306451,0.000001,20,12,20,326895155,326979335,115313
rbt,8300,25541759,189640,129.881318,0.000005,15.632925,0.000001,21,12,21,331179763,331264283,115760
rbt,8400,25842385,190293,132.679196,0.000005,15.921236,0.000001,21,12,21,335139357,335224173,116146
rbt,8500,26132555,190864,135.473156,0.000005,16.208450,0.000001,21,13,21,338951381,339036445,116511
rbt,8600,26434467,191564,138.421399,0.000005,16.512686,0.000001,21,13,21,342927143,343012505,116949
rbt,8700,26774208,192411,141.837935,0.000005,16.861862,0.000001,21,13,21,347403451,347489198,117466
rbt,8800,27108986,193131,145.274318,0.000005,17.208039,0.000001,21,13,21,351787453,351873532,117894
rbt,8900,27419585,193689,148.367801,0.000005,17.524063,0.000001,21,13,21,355863304,355949621,118240
rbt,9000,27784896,194526,152.277279,0.000005,17.952231,0.000001,21,13,21,360659626,360746308,118750
rbt,9100,28100847,195130,155.767118,0.000006,18.362318,0.000001,21,13,21,364793783,364880669,119180
rbt,9200,28443377,195667,159.703225,0.000006,18.782109,0.000001,21,13,21,369284731,369371868,119493
rbt,9300,28723895,196160,162.876874,0.000006,19.121180,0.000001,21,13,21,372971205,373058576,119775
rbt,9400,29041911,196717,166.304073,0.000006,19.486831,0.000001,21,13,21,377154646,377242264,120120
rbt,9500,29372564,197139,169.825599,0.000006,19.865381,0.000001,21,13,21,381493868,381581697,120352
rbt,9600,29721694,197656,173.700684,0.000006,20.274325,0.000001,21,13,21,386075024,386163094,120657
rbt,9700,30052159,198281,177.327365,0.000006,20.644827,0.000001,21,13,21,390408665,390497004,121055
rbt,9800,30324053,198766,180.396662,0.000006,20.959530,0.000001,21,13,21,393970452,394058971,121393
rbt,9900,30613129,199358,183.568797,0.000006,21.289895,0.000001,21,13,21,397788833,397877618,121747
rbt,10000,30941759,199864,187.423732,0.000006,21.691461,0.000001,21,13,21,402110830,402199837,122066
