Estrutura,Documentos,NumeroPalavrasTotais,NumeroPalavrasDistintas,TempoTotalInsercao,TempoMedioInsercao,TempoMaxBusca,TempoMedioBusca,Altura,MenorGalho,MaiorGalho,ComparacoesInsercao,ComparacoesBusca,NumeroRotacao
bst,26,83123,11911,45.056417,0.000542,0.086248,0.000322,32,6,32,1023141,1035052,0
avl,26,83123,11911,40.804663,0.000491,0.140779,0.000370,15,10,15,924177,928247,9097
rbt,26,83123,11911,31.114418,0.000374,0.161190,0.000372,15,9,15,917412,922551,7480
bst,27,85969,12127,47.007127,0.000547,0.086248,0.000322,32,6,32,1058665,1070792,0
avl,27,85969,12127,42.416736,0.000493,0.140779,0.000371,15,10,15,957059,961205,9252
rbt,27,85969,12127,32.544010,0.000379,0.161190,0.000373,16,9,16,951021,956252,7612
bst,28,88080,12306,48.100932,0.000546,0.086248,0.000322,32,6,32,1086707,1099013,0
avl,28,88080,12306,43.539146,0.000494,0.140779,0.000371,15,10,15,981837,986060,9366
rbt,28,88080,12306,33.338948,0.000379,0.161190,0.000372,16,9,16,975911,981229,7715
bst,29,90749,12519,50.014184,0.000551,0.086248,0.000323,32,6,32,1119543,1132062,0
avl,29,90749,12519,45.171963,0.000498,0.140779,0.000372,15,10,15,1012619,1016928,9516
rbt,29,90749,12519,34.618892,0.000381,0.161190,0.000372,16,9,16,1006658,1012066,7847
bst,30,92094,12623,50.710767,0.000551,0.086248,0.000323,32,6,32,1137006,1149629,0
avl,30,92094,12623,45.759871,0.000497,0.140779,0.000372,15,10,15,1028351,1032699,9587
rbt,30,92094,12623,35.119488,0.000381,0.161190,0.000373,16,9,16,1022607,1028069,7903
bst,31,93157,12706,51.382457,0.000552,0.086248,0.000323,32,6,32,1150965,1163671,0
avl,31,93157,12706,46.335000,0.000497,0.140779,0.000372,15,10,15,1040804,1045164,9671
rbt,31,93157,12706,35.526818,0.000381,0.161190,0.000373,16,9,16,1035206,1040702,7959
bst,32,95327,12803,52.629445,0.000552,0.086248,0.000324,32,7,32,1178804,1191607,0
avl,32,95327,12803,47.473751,0.000498,0.140779,0.000372,15,10,15,1066221,1070605,9755
