Estrutura,Documentos,NumeroPalavrasTotais,NumeroPalavrasDistintas,TempoTotalInsercao,TempoMedioInsercao,TempoMaxBusca,TempoMedioBusca,Altura,MenorGalho,MaiorGalho,ComparacoesInsercao,ComparacoesBusca,NumeroRotacao
bst,71,208997,20308,125.942714,0.000603,0.086248,0.000329,34,7,34,2660008,2680316,0
avl,71,208997,20308,113.996294,0.000545,0.171396,0.000379,16,10,16,2427473,2434600,15223
rbt,71,208997,20308,88.319451,0.000423,0.161190,0.000379,17,10,17,2417523,2426296,12721
bst,72,211659,20439,127.454941,0.000602,0.086248,0.000329,34,7,34,2694097,2714536,0
avl,72,211659,20439,115.412839,0.000545,0.171396,0.000379,16,10,16,2459420,2466584,15340
rbt,72,211659,20439,89.415791,0.000422,0.161190,0.000378,17,10,17,2449297,2458126,12811
bst,73,215691,20790,130.452739,0.000605,0.086248,0.000329,34,7,34,2747924,2768714,0
avl,73,215691,20790,117.959213,0.000547,0.171396,0.000380,16,11,16,2508482,2515756,15610
rbt,73,215691,20790,91.466445,0.000424,0.161190,0.000379,17,10,17,2497664,2506655,13017
bst,74,220130,20924,133.153534,0.000605,0.086248,0.000329,34,7,34,2806274,2827198,0
avl,74,220130,20924,120.500301,0.000547,0.171396,0.000380,16,11,16,2561552,2568865,15717
rbt,74,220130,20924,93.600287,0.000425,0.161190,0.000378,17,10,17,2551877,2560923,13103
bst,75,229432,21682,139.622736,0.000609,0.086248,0.000330,34,7,34,2934057,2955739,0
avl,75,229432,21682,126.010585,0.000549,0.171396,0.000380,16,11,16,2675894,2683475,16275
rbt,75,229432,21682,97.936983,0.000427,0.161190,0.000378,17,10,17,2665787,2675156,13572
bst,76,236058,22005,143.806574,0.000609,0.086248,0.000330,34,7,34,3023022,3045027,0
avl,76,236058,22005,129.842135,0.000550,0.171396,0.000380,16,11,16,2756546,2764259,16486
rbt,76,236058,22005,101.007864,0.000428,0.161190,0.000378,17,10,17,2746952,2756470,13762
bst,77,236472,22030,144.233611,0.000610,0.086248,0.000330,34,7,34,3028488,3050518,0
avl,77,236472,22030,130.133878,0.000550,0.171396,0.000380,16,11,16,2761539,2769259,16506
rbt,77,236472,22030,101.267018,0.000428,0.161190,0.000378,17,10,17,2751861,2761389,13777
bst,78,238167,22129,145.452716,0.000611,0.086248,0.000330,34,7,34,3051410,3073539,0
avl,78,238167,22129,131.164825,0.000551,0.171396,0.000380,16,11,16,2781899,2789654,16577
rbt,78,238167,22129,102.103274,0.000429,0.161190,0.000378,17,10,17,2772628,2782200,13837
bst,79,248899,22542,152.118067,0.000611,0.086248,0.000331,34,7,34,3193211,3215753,0
